start_time,match_id,new_skill,old_skill,skill_change,cumulative_matches
2023-10-24,7,29.68345,25.0,4.6834507,7
2023-10-25,2,28.872246,29.68345,-0.8112049,9
2023-10-26,7,24.497835,28.872246,-4.3744106,16
2023-10-28,8,22.701612,24.497835,-1.7962227,24
2023-10-29,8,23.45481,22.701612,0.7531967,32
2023-10-30,3,26.380161,23.45481,2.925352,35
2023-10-31,7,24.457584,26.380161,-1.9225769,42
2023-11-01,10,24.704578,24.457584,0.24699402,52
2023-11-02,9,20.933773,24.704578,-3.7708054,61
2023-11-03,9,21.515171,20.933773,0.581398,70
2023-11-04,6,22.364256,20.869038,1.4952183,76
2023-11-05,9,23.128311,22.364256,0.76405525,85
2023-11-06,7,25.28993,22.687056,2.6028748,92
2023-11-07,3,24.012167,25.28993,-1.2777634,95
2023-11-08,4,23.413977,24.012167,-0.5981903,99
2023-11-09,4,25.007227,23.413977,1.5932503,103
2023-11-10,9,26.100906,25.007227,1.0936794,112
2023-11-11,11,26.599703,26.100906,0.49879646,123
2023-11-13,16,26.603888,26.599703,0.004184723,139
2023-11-14,12,26.990265,26.603888,0.38637733,151
2023-11-15,7,27.704378,26.990265,0.71411324,158
2023-11-16,8,28.122053,27.704378,0.41767502,166
2023-11-17,9,27.563862,28.122053,-0.5581913,175
2023-11-18,5,24.8836,27.563862,-2.6802616,180
2023-11-19,10,26.782959,27.647942,-0.8649826,190
2023-11-20,4,26.202682,26.782959,-0.5802765,194
2023-11-21,5,27.067904,26.202682,0.865221,199
2023-11-22,4,27.537434,27.067904,0.4695301,203
2023-11-23,6,27.39633,27.537434,-0.14110374,209
2023-11-24,8,26.258379,27.39633,-1.1379509,217
2023-11-25,1,26.728132,26.258379,0.46975327,218
2023-11-26,2,26.681368,26.728132,-0.046764374,220
2023-11-27,4,26.599483,26.681368,-0.081884384,224
2023-11-28,8,26.431564,26.599483,-0.16791916,232
2023-11-29,3,26.062855,26.431564,-0.36870956,235
2023-11-30,10,26.447514,26.062855,0.3846588,245
2023-12-01,10,26.759384,26.447514,0.31187057,255
2023-12-02,6,27.13413,26.759384,0.37474632,261
2023-12-03,11,28.002602,27.13413,0.86847115,272
2023-12-04,4,27.58084,28.002602,-0.42176247,276
2023-12-05,4,28.189775,27.58084,0.6089363,280
2023-12-06,5,28.533058,28.189775,0.3432827,285
2023-12-07,8,29.705978,28.533058,1.1729202,293
2023-12-08,3,29.519354,29.705978,-0.18662453,296
2023-12-09,6,29.753935,29.519354,0.234581,302
2023-12-10,5,29.813358,29.753935,0.059423447,307
2023-12-11,8,29.111382,29.813358,-0.7019768,315
2023-12-12,9,28.317066,29.111382,-0.79431534,324
2023-12-13,9,28.505756,28.317066,0.18869019,333
2023-12-14,6,28.148333,28.505756,-0.35742378,339
2023-12-15,7,28.326698,28.148333,0.1783657,346
2023-12-16,14,28.510015,28.326698,0.18331718,360
2023-12-17,4,28.804924,28.510015,0.29490852,364
2023-12-18,8,28.852726,28.804924,0.04780197,372
2023-12-19,9,29.261114,28.852726,0.40838814,381
2023-12-20,9,28.318516,29.261114,-0.94259834,390
2023-12-21,9,28.077961,28.318516,-0.24055481,399
2023-12-22,1,28.205975,28.077961,0.12801361,400
2023-12-23,5,28.482828,28.205975,0.27685356,405
2023-12-24,3,28.326967,28.482828,-0.1558609,408
2023-12-25,1,28.418085,28.326967,0.09111786,409
2023-12-26,2,28.614796,28.418085,0.19671059,411
2023-12-27,2,28.579987,28.614796,-0.034809113,413
2023-12-28,6,28.940193,28.579987,0.3602066,419
2023-12-29,7,28.830482,28.940193,-0.10971069,426
2023-12-30,4,29.096354,28.830482,0.26587105,430
2023-12-31,2,28.900429,29.096354,-0.19592476,432
2024-01-01,2,28.706997,28.900429,-0.19343185,434
2024-01-06,1,28.783672,28.706997,0.076675415,435
2024-01-07,10,28.899065,28.783672,0.115392685,445
2024-01-08,1,29.019709,28.899065,0.120643616,446
2024-01-09,4,29.044855,29.019709,0.025146484,450
2024-01-10,6,29.18008,29.044855,0.1352253,456
2024-01-11,1,29.302422,29.18008,0.122341156,457
2024-01-12,6,28.759722,29.180002,-0.42028046,463
2024-01-13,1,28.94019,28.759722,0.1804676,464
2024-01-14,2,28.951424,28.94019,0.011234283,466
2024-01-15,3,29.235224,28.951424,0.28380013,469
2024-01-16,1,29.354439,29.235224,0.11921501,470
2024-01-18,1,29.232317,29.354439,-0.12212181,471
2024-01-26,5,28.757143,29.232317,-0.47517395,476
2024-01-28,1,28.874453,28.757143,0.11730957,477
2024-01-29,3,28.940424,28.874453,0.065971375,480
2024-01-30,5,28.281303,28.940424,-0.65912056,485
2024-01-31,2,28.316797,28.281303,0.03549385,487
2024-02-01,4,28.669043,28.316797,0.35224533,491
2024-02-02,4,28.615793,28.669043,-0.05324936,495
2024-02-03,2,28.587149,28.615793,-0.028644562,497
2024-02-04,1,28.725962,28.587149,0.13881302,498
2024-02-05,1,28.855618,28.725962,0.12965584,499
2024-02-06,4,29.356695,28.855618,0.50107765,503
2024-02-07,3,29.481815,29.356695,0.12512016,506
2024-02-08,2,29.094858,29.481815,-0.38695717,508
2024-02-09,4,29.233824,29.094858,0.1389656,512
2024-02-10,5,29.215147,29.233824,-0.018676758,517
2024-02-11,4,29.408276,29.215147,0.19312859,521
2024-02-12,2,29.446804,29.408276,0.038528442,523
2024-02-13,4,28.978912,29.446804,-0.4678917,527
2024-02-14,2,29.232016,28.978912,0.25310326,529
2024-02-16,3,29.619495,29.232016,0.38747978,532
2024-02-18,5,29.715899,29.619495,0.09640312,537
2024-02-19,6,29.816753,29.715899,0.10085487,543
2024-02-20,1,29.891272,29.816753,0.074518204,544
2024-02-21,2,29.95963,29.891272,0.06835747,546
2024-02-22,4,29.922585,29.95963,-0.037044525,550
2024-02-23,2,29.508654,29.922585,-0.4139309,552
2024-02-25,3,29.842785,29.508654,0.33413124,555
2024-02-26,2,29.811846,29.842785,-0.030939102,557
2024-02-27,3,29.685959,29.811846,-0.12588692,560
2024-02-28,3,29.813774,29.685959,0.12781525,563
2024-02-29,3,29.93669,29.813774,0.12291527,566
2024-03-01,3,30.134842,29.93669,0.19815254,569
2024-03-02,3,29.59102,30.134842,-0.54382133,572
2024-03-03,2,29.66881,29.59102,0.07778931,574
2024-03-05,1,29.808071,29.66881,0.13926125,575
2024-03-08,1,29.534758,29.808071,-0.27331352,576
2024-03-09,3,29.61919,29.534758,0.0844326,579
2024-03-10,1,29.722471,29.61919,0.10328102,580
