week,match_id,new_skill,old_skill,winning_team,team_id,skill_change,cumulative_matches,losses
2023-10-23/2023-10-29,32,23.45481,25.0,16,32,-1.5451908,32,16
2023-10-30/2023-11-05,53,23.128311,23.45481,28,53,-0.32649803,85,25
2023-11-06/2023-11-12,38,26.599703,22.687056,22,38,3.9126472,123,16
2023-11-13/2023-11-19,67,26.782959,26.599703,35,67,0.18325615,190,32
2023-11-20/2023-11-26,30,26.681368,26.782959,15,30,-0.10159111,220,15
2023-11-27/2023-12-03,52,28.002602,26.681368,30,52,1.3212337,272,22
2023-12-04/2023-12-10,35,29.813358,28.002602,21,35,1.8107567,307,14
2023-12-11/2023-12-17,57,28.804924,29.813358,27,57,-1.0084343,364,30
2023-12-18/2023-12-24,44,28.326967,28.804924,20,44,-0.47795677,408,24
2023-12-25/2023-12-31,24,28.900429,28.326967,15,24,0.57346153,432,9
2024-01-01/2024-01-07,13,28.899065,28.900429,5,13,-0.0013637543,445,8
2024-01-08/2024-01-14,21,28.951424,28.899065,11,21,0.052358627,466,10
2024-01-15/2024-01-21,5,29.232317,28.951424,4,5,0.28089333,471,1
2024-01-22/2024-01-28,6,28.874453,29.232317,2,6,-0.35786438,477,4
2024-01-29/2024-02-04,21,28.725962,28.874453,10,21,-0.1484909,498,11
2024-02-05/2024-02-11,23,29.408276,28.725962,15,23,0.6823139,521,8
2024-02-12/2024-02-18,16,29.715899,29.408276,9,16,0.3076229,537,7
2024-02-19/2024-02-25,18,29.842785,29.715899,8,18,0.12688637,555,10
2024-02-26/2024-03-03,19,29.66881,29.842785,9,19,-0.17397499,574,10
2024-03-04/2024-03-10,6,29.722471,29.66881,4,6,0.053661346,580,2
2024-03-11/2024-03-17,11,30.08402,29.722471,7,11,0.36154938,591,4
2024-03-18/2024-03-24,18,29.228067,30.08402,8,18,-0.8559532,609,10
2024-03-25/2024-03-31,17,28.357811,29.228067,6,17,-0.8702564,626,11
2024-04-01/2024-04-07,9,29.57326,28.357811,7,9,1.2154484,635,2
2024-04-08/2024-04-14,10,29.312395,29.57326,5,10,-0.26086426,645,5
2024-04-15/2024-04-21,23,29.729902,29.312395,14,23,0.41750717,668,9
2024-04-22/2024-04-28,15,29.277987,29.729902,7,15,-0.45191574,683,8
2024-04-29/2024-05-05,19,29.642906,29.277987,11,19,0.36491966,702,8
2024-05-06/2024-05-12,6,29.147707,29.642906,1,6,-0.4951992,708,5
2024-05-13/2024-05-19,14,29.47157,29.147707,10,14,0.32386208,722,4
2024-05-20/2024-05-26,14,30.409273,29.47157,10,14,0.9377041,736,4
2024-05-27/2024-06-02,9,30.921566,30.409273,5,9,0.51229286,745,4
2024-06-03/2024-06-09,5,32.549644,30.921566,4,5,1.6280785,750,1
2024-06-10/2024-06-16,12,33.319622,32.549644,7,12,0.76997757,762,5
2024-06-17/2024-06-23,5,32.27547,32.288063,3,5,-0.012592316,767,2
2024-06-24/2024-06-30,8,32.02509,32.27547,4,8,-0.25038147,775,4
2024-07-01/2024-07-07,1,34.5832,33.910168,1,1,0.67303085,776,0
2024-07-08/2024-07-14,8,31.356276,32.02509,3,8,-0.6688137,784,5
2024-07-15/2024-07-21,6,34.235355,31.356276,3,6,2.8790798,790,3
2024-07-22/2024-07-28,18,32.459457,30.858664,11,18,1.6007938,808,7
2024-07-29/2024-08-04,21,35.496395,32.459457,15,21,3.0369377,829,6
2024-08-05/2024-08-11,17,34.89945,35.29278,9,17,-0.39333344,846,8
2024-08-12/2024-08-18,7,35.08329,34.89945,4,7,0.1838417,853,3
2024-08-19/2024-08-25,4,35.529453,34.90902,1,4,0.6204338,857,3
2024-08-26/2024-09-01,14,33.836582,35.529453,6,14,-1.6928711,871,8
2024-09-02/2024-09-08,4,33.202995,33.836582,3,4,-0.6335869,875,1
2024-09-09/2024-09-15,9,35.00072,34.62956,6,9,0.3711624,884,3
